"HISTORY","CVP","PCWP","HYPOVOLEMIA","LVEDVOLUME","LVFAILURE","STROKEVOLUME","ERRLOWOUTPUT","HRBP","HREKG","ERRCAUTER","HRSAT","INSUFFANESTH","ANAPHYLAXIS","TPR","EXPCO2","KINKEDTUBE","MINVOL","FIO2","PVSAT","SAO2","PAP","PULMEMBOLUS","SHUNT","INTUBATION","PRESS","DISCONNECT","MINVOLSET","VENTMACH","VENTTUBE","VENTLUNG","VENTALV","ARTCO2","CATECHOL","HR","CO","BP"
"TRUE","NORMAL","HIGH","FALSE","NORMAL","TRUE","HIGH","TRUE","LOW","NORMAL","FALSE","HIGH","FALSE","FALSE","NORMAL","HIGH","TRUE","ZERO","LOW","HIGH","HIGH","NORMAL","FALSE","HIGH","NORMAL","HIGH","FALSE","HIGH","HIGH","HIGH","HIGH","HIGH","NORMAL","NORMAL","HIGH","LOW","LOW"
"TRUE","LOW","HIGH","TRUE","LOW","FALSE","HIGH","FALSE","HIGH","LOW","FALSE","LOW","TRUE","FALSE","LOW","HIGH","FALSE","HIGH","NORMAL","LOW","LOW","LOW","TRUE","NORMAL","ONESIDED","LOW","TRUE","LOW","NORMAL","LOW","HIGH","HIGH","HIGH","HIGH","HIGH","HIGH","HIGH"
"TRUE","LOW","NORMAL","TRUE","LOW","FALSE","NORMAL","FALSE","HIGH","LOW","FALSE","LOW","FALSE","FALSE","LOW","HIGH","FALSE","HIGH","NORMAL","LOW","LOW","LOW","TRUE","HIGH","NORMAL","NORMAL","TRUE","LOW","NORMAL","LOW","ZERO","ZERO","NORMAL","HIGH","HIGH","HIGH","HIGH"
"TRUE","LOW","NORMAL","TRUE","LOW","TRUE","NORMAL","TRUE","HIGH","NORMAL","FALSE","NORMAL","TRUE","FALSE","HIGH","LOW","TRUE","LOW","NORMAL","NORMAL","HIGH","NORMAL","TRUE","HIGH","NORMAL","LOW","FALSE","HIGH","HIGH","ZERO","ZERO","ZERO","HIGH","NORMAL","HIGH","HIGH","HIGH"
"TRUE","NORMAL","HIGH","TRUE","NORMAL","TRUE","HIGH","TRUE","NORMAL","NORMAL","FALSE","NORMAL","FALSE","FALSE","LOW","LOW","TRUE","ZERO","NORMAL","HIGH","HIGH","NORMAL","TRUE","HIGH","NORMAL","LOW","FALSE","HIGH","HIGH","HIGH","HIGH","HIGH","HIGH","NORMAL","HIGH","LOW","LOW"
"TRUE","HIGH","LOW","TRUE","HIGH","FALSE","LOW","FALSE","HIGH","LOW","FALSE","LOW","TRUE","FALSE","HIGH","ZERO","FALSE","NORMAL","NORMAL","LOW","LOW","LOW","TRUE","HIGH","NORMAL","HIGH","TRUE","LOW","NORMAL","HIGH","HIGH","HIGH","HIGH","HIGH","HIGH","LOW","LOW"
"TRUE","NORMAL","HIGH","TRUE","NORMAL","FALSE","HIGH","FALSE","HIGH","HIGH","TRUE","NORMAL","TRUE","FALSE","HIGH","HIGH","FALSE","NORMAL","NORMAL","LOW","LOW","HIGH","TRUE","HIGH","NORMAL","HIGH","TRUE","LOW","NORMAL","LOW","NORMAL","ZERO","HIGH","HIGH","HIGH","LOW","HIGH"
"TRUE","LOW","NORMAL","TRUE","LOW","FALSE","LOW","FALSE","HIGH","LOW","FALSE","LOW","TRUE","FALSE","NORMAL","LOW","FALSE","NORMAL","NORMAL","LOW","LOW","LOW","TRUE","HIGH","NORMAL","LOW","TRUE","LOW","NORMAL","LOW","NORMAL","ZERO","HIGH","HIGH","HIGH","LOW","HIGH"
"TRUE","LOW","HIGH","FALSE","LOW","TRUE","NORMAL","TRUE","NORMAL","LOW","FALSE","LOW","FALSE","FALSE","LOW","LOW","TRUE","HIGH","NORMAL","HIGH","HIGH","NORMAL","TRUE","HIGH","NORMAL","HIGH","TRUE","HIGH","HIGH","LOW","ZERO","ZERO","HIGH","NORMAL","HIGH","HIGH","HIGH"
"TRUE","HIGH","NORMAL","TRUE","LOW","TRUE","NORMAL","FALSE","HIGH","NORMAL","FALSE","NORMAL","FALSE","FALSE","NORMAL","LOW","TRUE","ZERO","NORMAL","NORMAL","HIGH","NORMAL","TRUE","HIGH","NORMAL","HIGH","FALSE","HIGH","ZERO","HIGH","HIGH","HIGH","HIGH","NORMAL","HIGH","HIGH","NORMAL"
