HRBP,EXPCO2,PVSAT,VENTLUNG,PULMEMBOLUS,HYPOVOLEMIA,VENTMACH,KINKEDTUBE,ANAPHYLAXIS,PCWP,TPR,DISCONNECT,SHUNT,CATECHOL,HISTORY,STROKEVOLUME,VENTALV,HREKG,FIO2,PAP,CO,ERRCAUTER,PRESS,ARTCO2,ERRLOWOUTPUT,LVFAILURE,HRSAT,BP,INTUBATION,LVEDVOLUME,HR,CVP,SAO2,INSUFFANESTH,MINVOLSET,VENTTUBE,MINVOL
HIGH,LOW,LOW,ZERO,FALSE,FALSE,ZERO,FALSE,FALSE,NORMAL,LOW,FALSE,NORMAL,HIGH,FALSE,HIGH,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,NORMAL,HIGH,FALSE,FALSE,HIGH,LOW,NORMAL,NORMAL,HIGH,HIGH,LOW,FALSE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,TRUE,FALSE,LOW,LOW,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,HIGH,HIGH,FALSE,FALSE,HIGH,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,FALSE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,NORMAL,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,NORMAL,HIGH,NORMAL,LOW,TRUE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,HIGH,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,LOW,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,HIGH,HIGH,HIGH,LOW,FALSE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,FALSE,TRUE,NORMAL,FALSE,FALSE,HIGH,NORMAL,FALSE,NORMAL,HIGH,FALSE,LOW,ZERO,HIGH,NORMAL,NORMAL,LOW,FALSE,HIGH,HIGH,FALSE,FALSE,HIGH,LOW,NORMAL,HIGH,HIGH,HIGH,LOW,FALSE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,NORMAL,LOW,FALSE,HIGH,HIGH,FALSE,NORMAL,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,HIGH,HIGH,FALSE,FALSE,HIGH,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,LOW,TRUE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,NORMAL,LOW,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,HIGH,NORMAL,HIGH,HIGH,FALSE,NORMAL,HIGH,FALSE,FALSE,HIGH,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,TRUE,NORMAL,LOW,ZERO
NORMAL,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,HIGH,HIGH,TRUE,FALSE,HIGH,HIGH,NORMAL,NORMAL,HIGH,NORMAL,LOW,FALSE,NORMAL,LOW,ZERO
NORMAL,LOW,LOW,ZERO,FALSE,TRUE,NORMAL,FALSE,FALSE,HIGH,NORMAL,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,HIGH,NORMAL,NORMAL,LOW,FALSE,NORMAL,HIGH,TRUE,FALSE,HIGH,LOW,NORMAL,HIGH,HIGH,HIGH,LOW,FALSE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,NORMAL,LOW,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,LOW,HIGH,FALSE,FALSE,HIGH,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,TRUE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,TRUE,FALSE,NORMAL,TRUE,FALSE,NORMAL,NORMAL,FALSE,HIGH,HIGH,FALSE,NORMAL,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,NORMAL,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,NORMAL,HIGH,NORMAL,LOW,FALSE,NORMAL,LOW,ZERO
