"GoodStudent","Age","SocioEcon","RiskAversion","VehicleYear","ThisCarDam","RuggedAuto","Accident","MakeModel","DrivQuality","Mileage","Antilock","DrivingSkill","SeniorTrain","ThisCarCost","Theft","CarValue","HomeBase","AntiTheft","PropCost","OtherCarCost","OtherCar","MedCost","Cushioning","Airbag","ILiCost","DrivHist"
"False","Senior","Middle","Cautious","Older","None","Football","None","FamilySedan","Normal","TwentyThou","False","Normal","True","Thousand","False","TwentyThou","Secure","True","TenThou","Thousand","True","Thousand","Fair","False","Thousand","Zero"
"False","Adult","Middle","Cautious","Current","None","EggShell","None","SportsCar","Normal","TwentyThou","True","Normal","False","Thousand","False","TenThou","Secure","True","Thousand","Thousand","True","Thousand","Poor","True","Thousand","Zero"
"False","Adult","Middle","Normal","Older","Moderate","Football","Moderate","FamilySedan","Poor","FiftyThou","False","SubStandard","False","TenThou","False","FiveThou","Suburb","False","TenThou","TenThou","True","Thousand","Good","False","Thousand","One"
"False","Adult","Prole","Normal","Older","Moderate","Football","Moderate","Economy","Poor","FiftyThou","False","SubStandard","False","TenThou","False","FiveThou","City","True","TenThou","Thousand","False","Thousand","Fair","False","Thousand","Many"
"False","Adult","Middle","Normal","Older","None","Football","None","Economy","Excellent","FiftyThou","False","Expert","False","Thousand","False","FiveThou","Suburb","True","Thousand","Thousand","True","Thousand","Fair","False","Thousand","Zero"
"False","Adult","Middle","Normal","Older","None","EggShell","None","Economy","Normal","Domino","False","Normal","False","Thousand","False","FiveThou","Secure","False","Thousand","Thousand","False","Thousand","Poor","False","Thousand","Zero"
"False","Adult","UpperMiddle","Cautious","Current","Severe","EggShell","Severe","SportsCar","Poor","TwentyThou","True","SubStandard","False","HundredThou","False","TwentyThou","Secure","True","HundredThou","TenThou","True","Thousand","Poor","True","HundredThou","Many"
"False","Adolescent","Prole","Cautious","Current","None","EggShell","None","Economy","Normal","FiftyThou","False","Normal","False","Thousand","False","TenThou","City","True","Thousand","Thousand","True","Thousand","Fair","True","Thousand","Zero"
"False","Adolescent","Prole","Adventurous","Older","None","EggShell","None","Economy","Excellent","TwentyThou","False","Normal","False","Thousand","False","FiveThou","City","False","Thousand","Thousand","False","Thousand","Poor","False","Thousand","One"
"False","Adolescent","Prole","Adventurous","Older","Mild","EggShell","Mild","Economy","Poor","TwentyThou","False","SubStandard","False","Thousand","False","FiveThou","Rural","False","Thousand","Thousand","False","Thousand","Poor","False","Thousand","Many"
"False","Adult","Prole","Normal","Older","Moderate","EggShell","Moderate","Economy","Poor","FiftyThou","False","SubStandard","False","TenThou","False","FiveThou","City","False","Million","HundredThou","False","Thousand","Poor","False","Thousand","Many"
"True","Adolescent","Middle","Normal","Older","None","EggShell","None","SportsCar","Normal","TwentyThou","False","Normal","False","Thousand","False","TenThou","Suburb","True","Thousand","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"False","Senior","Prole","Cautious","Current","None","Football","None","Economy","Excellent","FiftyThou","False","Expert","True","Thousand","False","FiveThou","City","True","Thousand","Thousand","False","Thousand","Good","True","Thousand","Zero"
"False","Senior","Prole","Normal","Current","Mild","EggShell","Mild","Economy","Poor","TwentyThou","False","SubStandard","False","TenThou","False","TenThou","City","False","TenThou","Thousand","True","Thousand","Poor","True","Thousand","Many"
"False","Adult","Middle","Adventurous","Current","None","Tank","None","FamilySedan","Normal","TwentyThou","True","Normal","False","Thousand","False","TwentyThou","Suburb","False","TenThou","Thousand","True","Thousand","Excellent","True","Thousand","Zero"
"False","Senior","Middle","Normal","Older","None","EggShell","None","SportsCar","Normal","Domino","True","Normal","True","Thousand","False","FiveThou","Suburb","True","TenThou","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"False","Adolescent","Middle","Normal","Older","None","Football","None","FamilySedan","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","Suburb","True","TenThou","Thousand","False","Thousand","Poor","False","Thousand","Zero"
"False","Adult","Prole","Cautious","Older","None","EggShell","None","SportsCar","Poor","TwentyThou","False","SubStandard","False","Thousand","False","TenThou","City","True","TenThou","Thousand","True","Thousand","Poor","False","Thousand","One"
