HG,AG,HS,AS,HT,AT,HP
4+,2 to 3,22+,up to 7,7+,3 to 4,61+
No goals,2 to 3,up to 7,8 to 14,up to 2,3 to 4,less than 41
2 to 3,2 to 3,15 to 21,8 to 14,5 to 6,5 to 6,61+
No goals,2 to 3,8 to 14,8 to 14,3 to 4,5 to 6,56 to 60
1 goal,No goals,8 to 14,8 to 14,3 to 4,up to 2,61+
No goals,No goals,22+,up to 7,up to 2,up to 2,56 to 60
2 to 3,2 to 3,8 to 14,8 to 14,3 to 4,5 to 6,46 to 50
1 goal,No goals,15 to 21,8 to 14,5 to 6,up to 2,less than 41
4+,No goals,22+,8 to 14,5 to 6,up to 2,51 to 55
No goals,2 to 3,up to 7,15 to 21,3 to 4,5 to 6,less than 41
No goals,2 to 3,up to 7,15 to 21,up to 2,7+,56 to 60
No goals,1 goal,15 to 21,8 to 14,up to 2,up to 2,61+
2 to 3,No goals,8 to 14,up to 7,3 to 4,up to 2,41 to 45
1 goal,No goals,22+,up to 7,7+,up to 2,61+
2 to 3,2 to 3,8 to 14,15 to 21,5 to 6,7+,61+
1 goal,No goals,8 to 14,15 to 21,3 to 4,5 to 6,less than 41
No goals,4+,up to 7,15 to 21,up to 2,7+,41 to 45
1 goal,No goals,up to 7,8 to 14,3 to 4,5 to 6,51 to 55
1 goal,2 to 3,15 to 21,8 to 14,5 to 6,up to 2,61+
1 goal,1 goal,15 to 21,up to 7,5 to 6,up to 2,61+
1 goal,2 to 3,8 to 14,15 to 21,3 to 4,7+,less than 41
No goals,2 to 3,15 to 21,up to 7,3 to 4,3 to 4,51 to 55
No goals,No goals,15 to 21,up to 7,5 to 6,3 to 4,41 to 45
2 to 3,No goals,22+,8 to 14,7+,3 to 4,61+
2 to 3,No goals,15 to 21,8 to 14,7+,3 to 4,less than 41
No goals,No goals,8 to 14,15 to 21,up to 2,up to 2,41 to 45
2 to 3,No goals,15 to 21,up to 7,7+,up to 2,56 to 60
4+,No goals,15 to 21,8 to 14,7+,up to 2,46 to 50
1 goal,1 goal,22+,8 to 14,5 to 6,3 to 4,61+
1 goal,1 goal,8 to 14,15 to 21,up to 2,up to 2,41 to 45
2 to 3,No goals,15 to 21,up to 7,7+,up to 2,56 to 60
2 to 3,1 goal,8 to 14,8 to 14,5 to 6,3 to 4,46 to 50
No goals,2 to 3,8 to 14,15 to 21,up to 2,5 to 6,51 to 55
1 goal,2 to 3,8 to 14,15 to 21,up to 2,5 to 6,less than 41
4+,No goals,8 to 14,8 to 14,7+,3 to 4,61+
No goals,2 to 3,8 to 14,8 to 14,up to 2,3 to 4,51 to 55
2 to 3,2 to 3,8 to 14,15 to 21,5 to 6,7+,less than 41
1 goal,No goals,up to 7,22+,up to 2,5 to 6,less than 41
No goals,1 goal,8 to 14,15 to 21,3 to 4,7+,61+
2 to 3,No goals,15 to 21,8 to 14,3 to 4,up to 2,41 to 45
2 to 3,1 goal,15 to 21,8 to 14,3 to 4,up to 2,61+
No goals,1 goal,8 to 14,8 to 14,3 to 4,3 to 4,46 to 50
1 goal,1 goal,15 to 21,8 to 14,3 to 4,up to 2,56 to 60
1 goal,1 goal,22+,up to 7,7+,3 to 4,61+
2 to 3,1 goal,8 to 14,8 to 14,3 to 4,3 to 4,41 to 45
No goals,No goals,22+,up to 7,7+,up to 2,61+
No goals,4+,up to 7,22+,up to 2,7+,less than 41
No goals,No goals,up to 7,8 to 14,up to 2,up to 2,less than 41
No goals,No goals,8 to 14,8 to 14,3 to 4,up to 2,51 to 55
4+,No goals,15 to 21,up to 7,7+,3 to 4,46 to 50
No goals,No goals,up to 7,8 to 14,3 to 4,up to 2,51 to 55
2 to 3,1 goal,8 to 14,8 to 14,3 to 4,3 to 4,51 to 55
2 to 3,2 to 3,8 to 14,22+,7+,5 to 6,41 to 45
4+,No goals,22+,up to 7,7+,up to 2,61+
No goals,1 goal,8 to 14,8 to 14,3 to 4,3 to 4,61+
No goals,4+,8 to 14,up to 7,up to 2,3 to 4,41 to 45
1 goal,2 to 3,8 to 14,8 to 14,3 to 4,3 to 4,51 to 55
2 to 3,2 to 3,8 to 14,15 to 21,3 to 4,5 to 6,46 to 50
1 goal,No goals,up to 7,15 to 21,3 to 4,5 to 6,46 to 50
2 to 3,No goals,15 to 21,up to 7,5 to 6,3 to 4,61+
No goals,No goals,15 to 21,8 to 14,3 to 4,up to 2,61+
No goals,1 goal,up to 7,15 to 21,up to 2,5 to 6,less than 41
No goals,4+,up to 7,8 to 14,up to 2,7+,less than 41
4+,No goals,15 to 21,up to 7,7+,up to 2,56 to 60
2 to 3,1 goal,15 to 21,15 to 21,5 to 6,3 to 4,less than 41
2 to 3,2 to 3,8 to 14,15 to 21,3 to 4,3 to 4,less than 41
1 goal,No goals,8 to 14,up to 7,3 to 4,up to 2,41 to 45
2 to 3,No goals,22+,8 to 14,7+,up to 2,61+
No goals,1 goal,22+,up to 7,3 to 4,up to 2,61+
1 goal,1 goal,8 to 14,15 to 21,5 to 6,up to 2,less than 41
1 goal,1 goal,15 to 21,8 to 14,5 to 6,5 to 6,61+
2 to 3,1 goal,8 to 14,15 to 21,5 to 6,5 to 6,41 to 45
No goals,No goals,15 to 21,up to 7,5 to 6,up to 2,61+
4+,2 to 3,15 to 21,up to 7,7+,up to 2,61+
2 to 3,No goals,up to 7,up to 7,3 to 4,up to 2,less than 41
1 goal,No goals,15 to 21,up to 7,5 to 6,up to 2,61+
2 to 3,1 goal,8 to 14,8 to 14,up to 2,5 to 6,46 to 50
1 goal,1 goal,8 to 14,8 to 14,3 to 4,5 to 6,46 to 50
2 to 3,2 to 3,8 to 14,15 to 21,up to 2,5 to 6,61+
1 goal,1 goal,8 to 14,up to 7,3 to 4,up to 2,56 to 60
No goals,2 to 3,15 to 21,up to 7,up to 2,5 to 6,61+
4+,2 to 3,8 to 14,15 to 21,7+,5 to 6,51 to 55
2 to 3,1 goal,up to 7,8 to 14,3 to 4,3 to 4,less than 41
2 to 3,No goals,15 to 21,up to 7,7+,up to 2,61+
1 goal,No goals,up to 7,8 to 14,3 to 4,up to 2,51 to 55
1 goal,No goals,15 to 21,up to 7,5 to 6,up to 2,61+
1 goal,2 to 3,8 to 14,up to 7,up to 2,3 to 4,51 to 55
1 goal,2 to 3,15 to 21,8 to 14,3 to 4,5 to 6,56 to 60
2 to 3,4+,8 to 14,22+,3 to 4,7+,less than 41
4+,1 goal,8 to 14,8 to 14,5 to 6,7+,less than 41
2 to 3,1 goal,15 to 21,up to 7,5 to 6,up to 2,61+
No goals,1 goal,up to 7,15 to 21,up to 2,5 to 6,41 to 45
2 to 3,2 to 3,15 to 21,up to 7,7+,up to 2,56 to 60
2 to 3,No goals,15 to 21,up to 7,7+,up to 2,61+
1 goal,No goals,8 to 14,8 to 14,3 to 4,3 to 4,41 to 45
No goals,1 goal,8 to 14,up to 7,up to 2,up to 2,61+
2 to 3,2 to 3,up to 7,15 to 21,3 to 4,5 to 6,less than 41
1 goal,1 goal,up to 7,up to 7,up to 2,up to 2,51 to 55
2 to 3,No goals,8 to 14,15 to 21,3 to 4,up to 2,less than 41
1 goal,No goals,8 to 14,8 to 14,5 to 6,5 to 6,46 to 50
1 goal,No goals,up to 7,8 to 14,3 to 4,3 to 4,46 to 50
No goals,1 goal,15 to 21,15 to 21,3 to 4,5 to 6,46 to 50
No goals,1 goal,8 to 14,up to 7,3 to 4,up to 2,61+
2 to 3,2 to 3,8 to 14,8 to 14,7+,3 to 4,46 to 50
No goals,1 goal,8 to 14,up to 7,up to 2,up to 2,56 to 60
1 goal,4+,up to 7,15 to 21,up to 2,7+,46 to 50
1 goal,No goals,15 to 21,8 to 14,7+,up to 2,51 to 55
2 to 3,2 to 3,8 to 14,8 to 14,5 to 6,3 to 4,less than 41
2 to 3,1 goal,8 to 14,up to 7,5 to 6,3 to 4,56 to 60
1 goal,No goals,8 to 14,8 to 14,up to 2,3 to 4,61+
2 to 3,No goals,8 to 14,8 to 14,5 to 6,3 to 4,41 to 45
4+,No goals,8 to 14,15 to 21,5 to 6,3 to 4,less than 41
2 to 3,No goals,15 to 21,8 to 14,7+,up to 2,less than 41
2 to 3,2 to 3,15 to 21,8 to 14,7+,5 to 6,61+
No goals,2 to 3,up to 7,8 to 14,up to 2,3 to 4,less than 41
2 to 3,No goals,15 to 21,up to 7,7+,up to 2,61+
4+,1 goal,15 to 21,8 to 14,7+,5 to 6,61+
No goals,4+,up to 7,8 to 14,up to 2,7+,less than 41
2 to 3,No goals,15 to 21,8 to 14,7+,5 to 6,56 to 60
2 to 3,2 to 3,8 to 14,8 to 14,3 to 4,5 to 6,51 to 55
1 goal,1 goal,8 to 14,up to 7,3 to 4,up to 2,46 to 50
2 to 3,1 goal,8 to 14,8 to 14,5 to 6,3 to 4,51 to 55
1 goal,1 goal,15 to 21,8 to 14,3 to 4,3 to 4,51 to 55
1 goal,No goals,15 to 21,8 to 14,3 to 4,up to 2,56 to 60
No goals,2 to 3,8 to 14,8 to 14,up to 2,3 to 4,51 to 55
No goals,No goals,8 to 14,8 to 14,up to 2,5 to 6,46 to 50
1 goal,1 goal,22+,up to 7,5 to 6,up to 2,61+
No goals,1 goal,8 to 14,15 to 21,up to 2,up to 2,less than 41
1 goal,2 to 3,up to 7,8 to 14,up to 2,5 to 6,less than 41
4+,1 goal,15 to 21,up to 7,5 to 6,up to 2,61+
No goals,No goals,8 to 14,8 to 14,3 to 4,3 to 4,51 to 55
2 to 3,1 goal,up to 7,15 to 21,3 to 4,5 to 6,less than 41
2 to 3,4+,8 to 14,15 to 21,3 to 4,7+,56 to 60
2 to 3,2 to 3,8 to 14,8 to 14,3 to 4,3 to 4,46 to 50
4+,No goals,15 to 21,up to 7,7+,up to 2,61+
1 goal,2 to 3,8 to 14,8 to 14,up to 2,3 to 4,61+
1 goal,No goals,15 to 21,up to 7,7+,up to 2,61+
4+,No goals,8 to 14,up to 7,5 to 6,3 to 4,41 to 45
2 to 3,1 goal,22+,up to 7,7+,up to 2,61+
No goals,2 to 3,8 to 14,8 to 14,up to 2,7+,less than 41
1 goal,2 to 3,22+,8 to 14,7+,3 to 4,61+
1 goal,4+,up to 7,8 to 14,up to 2,5 to 6,41 to 45
2 to 3,1 goal,22+,8 to 14,7+,up to 2,61+
2 to 3,No goals,up to 7,up to 7,3 to 4,3 to 4,46 to 50
1 goal,No goals,15 to 21,8 to 14,3 to 4,3 to 4,51 to 55
2 to 3,1 goal,8 to 14,8 to 14,3 to 4,3 to 4,41 to 45
1 goal,1 goal,up to 7,8 to 14,up to 2,up to 2,51 to 55
No goals,No goals,15 to 21,8 to 14,5 to 6,up to 2,51 to 55
1 goal,1 goal,15 to 21,15 to 21,5 to 6,3 to 4,46 to 50
2 to 3,1 goal,22+,up to 7,7+,3 to 4,61+
1 goal,No goals,8 to 14,8 to 14,5 to 6,up to 2,46 to 50
2 to 3,2 to 3,22+,8 to 14,7+,5 to 6,41 to 45
2 to 3,No goals,15 to 21,up to 7,5 to 6,up to 2,56 to 60
2 to 3,2 to 3,8 to 14,8 to 14,3 to 4,5 to 6,less than 41
1 goal,No goals,15 to 21,up to 7,3 to 4,up to 2,51 to 55
4+,1 goal,15 to 21,up to 7,7+,3 to 4,61+
1 goal,No goals,up to 7,15 to 21,up to 2,up to 2,less than 41
1 goal,1 goal,22+,up to 7,3 to 4,up to 2,61+
1 goal,2 to 3,8 to 14,8 to 14,5 to 6,7+,less than 41
1 goal,1 goal,up to 7,8 to 14,3 to 4,5 to 6,less than 41
1 goal,No goals,8 to 14,8 to 14,up to 2,7+,51 to 55
2 to 3,1 goal,8 to 14,up to 7,3 to 4,up to 2,51 to 55
1 goal,2 to 3,up to 7,8 to 14,up to 2,5 to 6,less than 41
No goals,No goals,8 to 14,up to 7,5 to 6,up to 2,61+
1 goal,No goals,8 to 14,8 to 14,up to 2,7+,56 to 60
No goals,1 goal,15 to 21,up to 7,3 to 4,3 to 4,51 to 55
1 goal,4+,8 to 14,15 to 21,3 to 4,7+,51 to 55
No goals,4+,up to 7,22+,3 to 4,7+,less than 41
2 to 3,No goals,22+,up to 7,7+,3 to 4,61+
No goals,No goals,up to 7,22+,up to 2,3 to 4,less than 41
1 goal,No goals,22+,8 to 14,5 to 6,up to 2,61+
No goals,No goals,8 to 14,8 to 14,up to 2,5 to 6,56 to 60
1 goal,No goals,22+,up to 7,7+,up to 2,51 to 55
No goals,2 to 3,8 to 14,8 to 14,up to 2,5 to 6,56 to 60
4+,1 goal,15 to 21,up to 7,7+,up to 2,51 to 55
No goals,2 to 3,15 to 21,8 to 14,up to 2,7+,51 to 55
1 goal,4+,8 to 14,15 to 21,3 to 4,7+,56 to 60
No goals,4+,up to 7,15 to 21,up to 2,7+,41 to 45
1 goal,2 to 3,8 to 14,8 to 14,5 to 6,3 to 4,41 to 45
2 to 3,1 goal,8 to 14,8 to 14,7+,3 to 4,51 to 55
2 to 3,2 to 3,8 to 14,8 to 14,3 to 4,7+,51 to 55
1 goal,No goals,8 to 14,8 to 14,3 to 4,up to 2,51 to 55
No goals,2 to 3,up to 7,15 to 21,up to 2,7+,less than 41
No goals,No goals,up to 7,22+,up to 2,7+,less than 41
2 to 3,2 to 3,8 to 14,15 to 21,3 to 4,5 to 6,46 to 50
4+,No goals,8 to 14,up to 7,5 to 6,up to 2,61+
1 goal,1 goal,8 to 14,8 to 14,5 to 6,3 to 4,51 to 55
2 to 3,1 goal,8 to 14,15 to 21,5 to 6,7+,41 to 45
1 goal,1 goal,up to 7,8 to 14,up to 2,5 to 6,61+
2 to 3,2 to 3,15 to 21,8 to 14,5 to 6,3 to 4,61+
2 to 3,2 to 3,22+,8 to 14,7+,5 to 6,56 to 60
